case_id,min,max,length,unnormal_indices
CP_00_03201305_00023,-206.0,700.0,53,
CP_00_03211349_00092,-99.0,714.0,60,
CP_00_03212033_00093,-167.0,713.0,71,
CP_00_03212104_00094,-188.0,700.0,55,
CP_00_03212157_00090,-209.0,657.0,72,
CP_00_03220132_00092,-99.0,715.0,65,
CP_00_03251018_00074,-266.0,556.0,52,
CP_00_03251612_00090,-238.0,598.0,47,
CP_00_03251622_00088,-264.0,644.0,52,
CP_00_03261418_00090,-266.0,616.0,57,
CP_00_03261441_00092,-99.0,689.0,80,
CP_00_03261547_00093,-202.0,583.0,49,
CP_00_03261613_00117,-99.0,633.0,50,
CP_00_04011734_00091,-107.0,519.0,51,
CP_00_04021547_00090,-227.0,613.0,48,
CP_00_04021717_00092,-99.0,650.0,128,
CP_00_04030135_00156,-231.0,670.0,143,
CP_00_04030215_00095,-99.0,628.0,49,
CP_00_04050349_00150,-99.0,583.0,68,
CP_00_04050456_00093,-213.0,597.0,70,
CP_00_04052047_00090,-169.0,577.0,66,
CP_00_04052120_00150,-99.0,567.0,50,
CP_00_04052347_00092,-99.0,611.0,71,
CP_00_04061635_00090,-99.0,565.0,47,
CP_00_04061732_00092,-99.0,546.0,50,
CP_00_04081504_00091,-257.0,584.0,50,
CP_00_04081659_00088,-200.0,615.0,68,
CP_00_04082315_00092,-99.0,538.0,83,
CP_00_04082324_00090,-213.0,523.0,70,
CP_00_04090326_00091,-238.0,603.0,86,
CP_00_04090628_00079,-165.0,594.0,50,
CP_00_04090749_00090,-306.0,624.0,89,
CP_00_04091303_00092,-99.0,665.0,63,
CP_00_04160036_00093,-214.0,650.0,95,
CP_00_04160310_00150,-99.0,615.0,79,
CP_00_04160542_00092,-99.0,597.0,54,
CP_00_04161351_00093,-200.0,506.0,49,
CP_00_04161927_00090,-152.0,668.0,91,
CP_00_04162204_00150,-99.0,629.0,142,
CP_00_04200332_00092,-99.0,530.0,103,
CP_00_04201841_00092,-99.0,503.0,110,
CP_00_04211142_00090,-244.0,495.0,47,
CP_00_04211840_00091,-262.0,620.0,51,
CP_00_04220418_00090,-227.0,615.0,68,
CP_00_04220800_00092,-99.0,590.0,360,
CP_00_04221115_00092,-99.0,605.0,77,
CP_00_04230633_00092,-99.0,501.0,50,
CP_00_04251358_00090,-207.0,604.0,47,
CP_00_04291818_00092,-99.0,510.0,48,
CP_00_05011444_00092,-99.0,590.0,48,
CP_00_05011708_00090,-209.0,558.0,48,
CP_00_05011919_00088,-218.0,635.0,53,
CP_00_05012057_00092,-99.0,580.0,68,
CP_00_05020011_00088,-271.0,664.0,54,
CP_00_05020452_00150,-99.0,637.0,156,
CP_00_05020547_00087,-218.0,643.0,73,
CP_00_05020612_00093,-178.0,588.0,74,
CP_00_05021123_00088,-262.0,778.0,80,
CP_00_05021157_00091,-218.0,647.0,62,
CP_00_05021706_00092,-99.0,570.0,73,
CP_00_05032028_00087,-279.0,539.0,93,
CP_00_05032254_00090,-213.0,544.0,57,
CP_00_05042225_00091,-236.0,658.0,54,
CP_00_05050206_00088,-271.0,664.0,61,
CP_00_05050402_00090,-167.0,583.0,64,
CP_00_05050633_00092,-99.0,599.0,84,
CP_00_05050924_00092,-99.0,590.0,60,
CP_00_05051227_00091,-235.0,515.0,61,
CP_00_05051454_00088,-194.0,587.0,97,
CP_00_05060049_00091,-181.0,613.0,69,
CP_00_05061442_00088,-244.0,668.0,53,
CP_00_05061810_00088,-237.0,597.0,52,
CP_00_05061855_00090,-187.0,654.0,133,
CP_00_05062209_00150,-99.0,590.0,141,
CP_00_05070002_00092,-99.0,579.0,57,
CP_00_05070148_00093,-222.0,592.0,85,
CP_00_05070307_00087,-200.0,610.0,52,
CP_00_05080207_00038,-211.0,508.0,59,
CP_00_05080523_00092,-99.0,507.0,50,
CP_00_05080632_00093,-213.0,519.0,49,
CP_00_05080739_00087,-209.0,621.0,82,
CP_00_05080839_00023,-255.0,642.0,52,
CP_00_05081208_00156,-191.0,664.0,49,
CP_00_05081309_00092,-99.0,603.0,77,
CP_00_05111517_00093,-169.0,583.0,49,
CP_00_05111557_00090,-240.0,635.0,90,
CP_00_05120252_00090,-200.0,520.0,49,
CP_00_05120953_00092,-99.0,504.0,48,
CP_00_05141232_00023,-296.0,740.0,46,
CP_00_05141235_00090,-241.0,570.0,79,
CP_00_05141413_00087,-253.0,647.0,52,
CP_00_05141440_00093,-154.0,549.0,65,
CP_00_05141612_00094,-257.0,564.0,49,
CP_00_05141645_00092,-99.0,559.0,51,
CP_00_05150031_00150,-99.0,519.0,76,
CP_00_05160716_00091,-293.0,613.0,73,
CP_00_05161332_00088,-238.0,726.0,150,
CP_00_05161441_00091,-284.0,678.0,173,
CP_00_05162036_00090,-178.0,619.0,119,
CP_00_05171949_00087,-118.0,596.0,66,
CP_00_05181258_00087,-256.0,688.0,78,
CP_00_05181259_00150,-99.0,540.0,51,
CP_00_05181354_00093,-178.0,625.0,71,
CP_00_05181446_00092,-99.0,630.0,48,
